episode,step,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,player,x_count,o_count,empty_count,action,player_symbol,reward,done
0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,X,0.0,0
0,1,1,0,0,0,0,0,0,0,0,2,1,0,8,4,O,0.0,0
0,2,1,0,0,0,2,0,0,0,0,1,1,1,7,8,X,0.0,0
0,3,1,0,0,0,2,0,0,0,1,2,2,1,6,2,O,0.0,0
0,4,1,0,2,0,2,0,0,0,1,1,2,2,5,6,X,0.0,0
0,5,1,0,2,0,2,0,1,0,1,2,3,2,4,3,O,0.0,0
0,6,1,0,2,2,2,0,1,0,1,1,3,3,3,7,X,1.0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
1,1,0,0,0,0,1,0,0,0,0,2,1,0,8,3,O,0.0,0
1,2,0,0,0,2,1,0,0,0,0,1,1,1,7,7,X,0.0,0
1,3,0,0,0,2,1,0,0,1,0,2,2,1,6,1,O,0.0,0
1,4,0,2,0,2,1,0,0,1,0,1,2,2,5,6,X,0.0,0
1,5,0,2,0,2,1,0,1,1,0,2,3,2,4,0,O,0.0,0
1,6,2,2,0,2,1,0,1,1,0,1,3,3,3,2,X,1.0,1
2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,X,0.0,0
2,1,0,0,0,0,0,1,0,0,0,2,1,0,8,4,O,0.0,0
2,2,0,0,0,0,2,1,0,0,0,1,1,1,7,6,X,0.0,0
2,3,0,0,0,0,2,1,1,0,0,2,2,1,6,2,O,0.0,0
2,4,0,0,2,0,2,1,1,0,0,1,2,2,5,8,X,0.0,0
2,5,0,0,2,0,2,1,1,0,1,2,3,2,4,0,O,0.0,0
2,6,2,0,2,0,2,1,1,0,1,1,3,3,3,7,X,1.0,1
3,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
3,1,0,0,0,0,1,0,0,0,0,2,1,0,8,1,O,0.0,0
3,2,0,2,0,0,1,0,0,0,0,1,1,1,7,6,X,0.0,0
3,3,0,2,0,0,1,0,1,0,0,2,2,1,6,2,O,0.0,0
3,4,0,2,2,0,1,0,1,0,0,1,2,2,5,0,X,0.0,0
3,5,1,2,2,0,1,0,1,0,0,2,3,2,4,7,O,0.0,0
3,6,1,2,2,0,1,0,1,2,0,1,3,3,3,3,X,1.0,1
4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,6,X,0.0,0
4,1,0,0,0,0,0,0,1,0,0,2,1,0,8,4,O,0.0,0
4,2,0,0,0,0,2,0,1,0,0,1,1,1,7,2,X,0.0,0
4,3,0,0,1,0,2,0,1,0,0,2,2,1,6,8,O,0.0,0
4,4,0,0,1,0,2,0,1,0,2,1,2,2,5,0,X,0.0,0
4,5,1,0,1,0,2,0,1,0,2,2,3,2,4,1,O,0.0,0
4,6,1,2,1,0,2,0,1,0,2,1,3,3,3,7,X,0.0,0
4,7,1,2,1,0,2,0,1,1,2,2,4,3,2,3,O,0.0,0
4,8,1,2,1,2,2,0,1,1,2,1,4,4,1,5,X,0.0,1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
5,1,0,0,0,0,1,0,0,0,0,2,1,0,8,2,O,0.0,0
5,2,0,0,2,0,1,0,0,0,0,1,1,1,7,8,X,0.0,0
5,3,0,0,2,0,1,0,0,0,1,2,2,1,6,0,O,0.0,0
5,4,2,0,2,0,1,0,0,0,1,1,2,2,5,1,X,0.0,0
5,5,2,1,2,0,1,0,0,0,1,2,3,2,4,7,O,0.0,0
5,6,2,1,2,0,1,0,0,2,1,1,3,3,3,6,X,0.0,0
5,7,2,1,2,0,1,0,1,2,1,2,4,3,2,5,O,0.0,0
5,8,2,1,2,0,1,2,1,2,1,1,4,4,1,3,X,0.0,1
6,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
6,1,0,0,0,0,1,0,0,0,0,2,1,0,8,8,O,0.0,0
6,2,0,0,0,0,1,0,0,0,2,1,1,1,7,0,X,0.0,0
6,3,1,0,0,0,1,0,0,0,2,2,2,1,6,6,O,0.0,0
6,4,1,0,0,0,1,0,2,0,2,1,2,2,5,5,X,0.0,0
6,5,1,0,0,0,1,1,2,0,2,2,3,2,4,7,O,-1.0,1
7,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
7,1,0,0,0,0,1,0,0,0,0,2,1,0,8,2,O,0.0,0
7,2,0,0,2,0,1,0,0,0,0,1,1,1,7,0,X,0.0,0
7,3,1,0,2,0,1,0,0,0,0,2,2,1,6,1,O,0.0,0
7,4,1,2,2,0,1,0,0,0,0,1,2,2,5,8,X,1.0,1
8,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
8,1,0,0,0,0,1,0,0,0,0,2,1,0,8,1,O,0.0,0
8,2,0,2,0,0,1,0,0,0,0,1,1,1,7,8,X,0.0,0
8,3,0,2,0,0,1,0,0,0,1,2,2,1,6,0,O,0.0,0
8,4,2,2,0,0,1,0,0,0,1,1,2,2,5,2,X,0.0,0
8,5,2,2,1,0,1,0,0,0,1,2,3,2,4,3,O,0.0,0
8,6,2,2,1,2,1,0,0,0,1,1,3,3,3,7,X,0.0,0
8,7,2,2,1,2,1,0,0,1,1,2,4,3,2,6,O,-1.0,1
9,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,X,0.0,0
9,1,0,0,0,0,1,0,0,0,0,2,1,0,8,8,O,0.0,0
9,2,0,0,0,0,1,0,0,0,2,1,1,1,7,6,X,0.0,0
9,3,0,0,0,0,1,0,1,0,2,2,2,1,6,2,O,0.0,0
9,4,0,0,2,0,1,0,1,0,2,1,2,2,5,1,X,0.0,0
9,5,0,1,2,0,1,0,1,0,2,2,3,2,4,5,O,-1.0,1
